date,quantity,payment_method,products_id,customer_id,sales_person_id
6/6/2010,1,maestro,14,679,20
3/31/2006,2,americanexpress,71,361,16
3/23/2015,2,jcb,162,620,4
1/24/2005,4,jcb,144,760,7
8/28/2021,3,jcb,72,977,4
3/11/2021,5,bankcard,69,633,17
4/4/2024,2,jcb,114,245,8
6/26/2004,4,jcb,31,387,6
9/30/2004,2,visa-electron,126,773,18
2/1/2005,1,visa-electron,69,31,10
5/10/2021,4,jcb,195,909,1
1/24/2018,2,visa,149,476,16
5/18/2022,2,jcb,177,878,10
1/19/2004,5,visa,159,399,20
3/22/2025,2,visa-electron,143,955,11
4/6/2012,5,jcb,37,396,6
5/11/2005,5,visa-electron,195,377,5
1/18/2012,5,visa-electron,139,355,11
11/22/2006,3,mastercard,35,291,15
3/9/2005,2,jcb,126,551,15
9/5/2021,3,jcb,96,510,10
8/29/2018,5,jcb,31,942,9
8/12/2022,2,jcb,6,836,11
7/6/2002,5,mastercard,73,379,6
6/20/2024,3,china-unionpay,76,412,13
3/2/2015,2,bankcard,178,666,13
7/4/2013,5,jcb,64,829,8
11/3/2014,5,jcb,36,771,3
6/6/2014,5,switch,155,179,3
5/25/2016,4,china-unionpay,85,842,6
8/19/2020,4,diners-club-enroute,62,444,13
3/7/2010,5,diners-club-carte-blanche,128,711,7
12/30/2016,1,laser,15,885,16
4/7/2004,2,jcb,171,438,2
9/5/2020,1,jcb,13,427,4
12/13/2024,1,americanexpress,130,959,10
5/16/2012,1,jcb,51,935,6
10/3/2025,4,laser,129,173,4
5/4/2016,4,jcb,57,106,5
7/2/2003,3,mastercard,87,664,16
11/11/2006,1,maestro,82,98,1
11/12/2016,1,laser,191,696,6
8/29/2023,1,mastercard,60,172,17
10/27/2013,4,jcb,115,380,19
12/20/2015,1,mastercard,8,176,3
11/7/2003,5,jcb,44,973,8
9/27/2005,2,diners-club-enroute,185,459,6
4/10/2015,5,jcb,75,304,19
7/18/2013,1,mastercard,12,65,20
7/7/2025,4,jcb,66,414,11
4/27/2012,1,jcb,10,578,20
1/8/2023,3,diners-club-carte-blanche,107,331,10
4/7/2020,1,mastercard,2,594,7
7/3/2012,1,visa,198,375,1
5/3/2021,5,jcb,183,988,2
8/25/2019,2,jcb,44,288,7
